dataset,path,relative_path,file_name,actor_id,actor_folder,split,inferred_gender,emotion_code,emotion,modality,vocal_channel,intensity,statement,repetition,size_bytes
ravdess,github/ravdess/Actor_01/01-01-03-02-01-02-01.mp4,ravdess/Actor_01/01-01-03-02-01-02-01.mp4,01-01-03-02-01-02-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,strong,01,02,4612112
ravdess,github/ravdess/Actor_01/01-01-03-02-02-01-01.mp4,ravdess/Actor_01/01-01-03-02-02-01-01.mp4,01-01-03-02-02-01-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,strong,02,01,5039709
ravdess,github/ravdess/Actor_01/01-01-03-02-02-02-01.mp4,ravdess/Actor_01/01-01-03-02-02-02-01.mp4,01-01-03-02-02-02-01.mp4,1,Actor_01,test,male,03,happy,audio_video,speech,strong,02,02,5034457
ravdess,github/ravdess/Actor_01/01-01-04-01-01-01-01.mp4,ravdess/Actor_01/01-01-04-01-01-01-01.mp4,01-01-04-01-01-01-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,normal,01,01,4861630
ravdess,github/ravdess/Actor_01/01-01-04-01-01-02-01.mp4,ravdess/Actor_01/01-01-04-01-01-02-01.mp4,01-01-04-01-01-02-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,normal,01,02,4542613
ravdess,github/ravdess/Actor_01/01-01-04-01-02-01-01.mp4,ravdess/Actor_01/01-01-04-01-02-01-01.mp4,01-01-04-01-02-01-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,normal,02,01,4333241
ravdess,github/ravdess/Actor_01/01-01-04-01-02-02-01.mp4,ravdess/Actor_01/01-01-04-01-02-02-01.mp4,01-01-04-01-02-02-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,normal,02,02,4289977
ravdess,github/ravdess/Actor_01/01-01-04-02-01-01-01.mp4,ravdess/Actor_01/01-01-04-02-01-01-01.mp4,01-01-04-02-01-01-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,strong,01,01,4826135
ravdess,github/ravdess/Actor_01/01-01-04-02-01-02-01.mp4,ravdess/Actor_01/01-01-04-02-01-02-01.mp4,01-01-04-02-01-02-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,strong,01,02,4706761
ravdess,github/ravdess/Actor_01/01-01-04-02-02-01-01.mp4,ravdess/Actor_01/01-01-04-02-02-01-01.mp4,01-01-04-02-02-01-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,strong,02,01,4744098
ravdess,github/ravdess/Actor_01/01-01-04-02-02-02-01.mp4,ravdess/Actor_01/01-01-04-02-02-02-01.mp4,01-01-04-02-02-02-01.mp4,1,Actor_01,test,male,04,sad,audio_video,speech,strong,02,02,4736967
ravdess,github/ravdess/Actor_01/01-01-05-01-01-01-01.mp4,ravdess/Actor_01/01-01-05-01-01-01-01.mp4,01-01-05-01-01-01-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,normal,01,01,4912915
ravdess,github/ravdess/Actor_01/01-01-05-01-01-02-01.mp4,ravdess/Actor_01/01-01-05-01-01-02-01.mp4,01-01-05-01-01-02-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,normal,01,02,5032969
ravdess,github/ravdess/Actor_01/01-01-05-01-02-01-01.mp4,ravdess/Actor_01/01-01-05-01-02-01-01.mp4,01-01-05-01-02-01-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,normal,02,01,4450131
ravdess,github/ravdess/Actor_01/01-01-05-01-02-02-01.mp4,ravdess/Actor_01/01-01-05-01-02-02-01.mp4,01-01-05-01-02-02-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,normal,02,02,4739534
ravdess,github/ravdess/Actor_01/01-01-05-02-01-01-01.mp4,ravdess/Actor_01/01-01-05-02-01-01-01.mp4,01-01-05-02-01-01-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,strong,01,01,5227370
ravdess,github/ravdess/Actor_01/01-01-05-02-01-02-01.mp4,ravdess/Actor_01/01-01-05-02-01-02-01.mp4,01-01-05-02-01-02-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,strong,01,02,5554980
ravdess,github/ravdess/Actor_01/01-01-05-02-02-01-01.mp4,ravdess/Actor_01/01-01-05-02-02-01-01.mp4,01-01-05-02-02-01-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,strong,02,01,5265505
ravdess,github/ravdess/Actor_01/01-01-05-02-02-02-01.mp4,ravdess/Actor_01/01-01-05-02-02-02-01.mp4,01-01-05-02-02-02-01.mp4,1,Actor_01,test,male,05,angry,audio_video,speech,strong,02,02,5641855
ravdess,github/ravdess/Actor_01/01-01-06-01-01-01-01.mp4,ravdess/Actor_01/01-01-06-01-01-01-01.mp4,01-01-06-01-01-01-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,normal,01,01,4670618
ravdess,github/ravdess/Actor_01/01-01-06-01-01-02-01.mp4,ravdess/Actor_01/01-01-06-01-01-02-01.mp4,01-01-06-01-01-02-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,normal,01,02,4614932
ravdess,github/ravdess/Actor_01/01-01-06-01-02-01-01.mp4,ravdess/Actor_01/01-01-06-01-02-01-01.mp4,01-01-06-01-02-01-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,normal,02,01,4365297
ravdess,github/ravdess/Actor_01/01-01-06-01-02-02-01.mp4,ravdess/Actor_01/01-01-06-01-02-02-01.mp4,01-01-06-01-02-02-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,normal,02,02,4703496
ravdess,github/ravdess/Actor_01/01-01-06-02-01-01-01.mp4,ravdess/Actor_01/01-01-06-02-01-01-01.mp4,01-01-06-02-01-01-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,strong,01,01,6384100
ravdess,github/ravdess/Actor_01/01-01-06-02-01-02-01.mp4,ravdess/Actor_01/01-01-06-02-01-02-01.mp4,01-01-06-02-01-02-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,strong,01,02,5397077
ravdess,github/ravdess/Actor_01/01-01-06-02-02-01-01.mp4,ravdess/Actor_01/01-01-06-02-02-01-01.mp4,01-01-06-02-02-01-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,strong,02,01,5069300
ravdess,github/ravdess/Actor_01/01-01-06-02-02-02-01.mp4,ravdess/Actor_01/01-01-06-02-02-02-01.mp4,01-01-06-02-02-02-01.mp4,1,Actor_01,test,male,06,fearful,audio_video,speech,strong,02,02,4986064
ravdess,github/ravdess/Actor_01/01-01-07-01-01-01-01.mp4,ravdess/Actor_01/01-01-07-01-01-01-01.mp4,01-01-07-01-01-01-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,normal,01,01,4914386
ravdess,github/ravdess/Actor_01/01-01-07-01-01-02-01.mp4,ravdess/Actor_01/01-01-07-01-01-02-01.mp4,01-01-07-01-01-02-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,normal,01,02,4987582
ravdess,github/ravdess/Actor_01/01-01-07-01-02-01-01.mp4,ravdess/Actor_01/01-01-07-01-02-01-01.mp4,01-01-07-01-02-01-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,normal,02,01,4990895
ravdess,github/ravdess/Actor_01/01-01-07-01-02-02-01.mp4,ravdess/Actor_01/01-01-07-01-02-02-01.mp4,01-01-07-01-02-02-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,normal,02,02,4874458
ravdess,github/ravdess/Actor_01/01-01-07-02-01-01-01.mp4,ravdess/Actor_01/01-01-07-02-01-01-01.mp4,01-01-07-02-01-01-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,strong,01,01,5466422
ravdess,github/ravdess/Actor_01/01-01-07-02-01-02-01.mp4,ravdess/Actor_01/01-01-07-02-01-02-01.mp4,01-01-07-02-01-02-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,strong,01,02,5240231
ravdess,github/ravdess/Actor_01/01-01-07-02-02-01-01.mp4,ravdess/Actor_01/01-01-07-02-02-01-01.mp4,01-01-07-02-02-01-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,strong,02,01,5162960
ravdess,github/ravdess/Actor_01/01-01-07-02-02-02-01.mp4,ravdess/Actor_01/01-01-07-02-02-02-01.mp4,01-01-07-02-02-02-01.mp4,1,Actor_01,test,male,07,disgust,audio_video,speech,strong,02,02,5561562
ravdess,github/ravdess/Actor_01/01-01-08-01-01-01-01.mp4,ravdess/Actor_01/01-01-08-01-01-01-01.mp4,01-01-08-01-01-01-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,normal,01,01,4319666
ravdess,github/ravdess/Actor_01/01-01-08-01-01-02-01.mp4,ravdess/Actor_01/01-01-08-01-01-02-01.mp4,01-01-08-01-01-02-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,normal,01,02,4163511
ravdess,github/ravdess/Actor_01/01-01-08-01-02-01-01.mp4,ravdess/Actor_01/01-01-08-01-02-01-01.mp4,01-01-08-01-02-01-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,normal,02,01,4489925
ravdess,github/ravdess/Actor_01/01-01-08-01-02-02-01.mp4,ravdess/Actor_01/01-01-08-01-02-02-01.mp4,01-01-08-01-02-02-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,normal,02,02,4164222
ravdess,github/ravdess/Actor_01/01-01-08-02-01-01-01.mp4,ravdess/Actor_01/01-01-08-02-01-01-01.mp4,01-01-08-02-01-01-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,strong,01,01,4364686
ravdess,github/ravdess/Actor_01/01-01-08-02-01-02-01.mp4,ravdess/Actor_01/01-01-08-02-01-02-01.mp4,01-01-08-02-01-02-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,strong,01,02,4539174
ravdess,github/ravdess/Actor_01/01-01-08-02-02-01-01.mp4,ravdess/Actor_01/01-01-08-02-02-01-01.mp4,01-01-08-02-02-01-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,strong,02,01,4455914
ravdess,github/ravdess/Actor_01/01-01-08-02-02-02-01.mp4,ravdess/Actor_01/01-01-08-02-02-02-01.mp4,01-01-08-02-02-02-01.mp4,1,Actor_01,test,male,08,surprised,audio_video,speech,strong,02,02,4162486
ravdess,github/ravdess/Actor_01/02-01-01-01-01-01-01.mp4,ravdess/Actor_01/02-01-01-01-01-01-01.mp4,02-01-01-01-01-01-01.mp4,1,Actor_01,test,male,01,neutral,video_only,speech,normal,01,01,3131648
ravdess,github/ravdess/Actor_01/02-01-01-01-01-02-01.mp4,ravdess/Actor_01/02-01-01-01-01-02-01.mp4,02-01-01-01-01-02-01.mp4,1,Actor_01,test,male,01,neutral,video_only,speech,normal,01,02,3243428
ravdess,github/ravdess/Actor_01/02-01-01-01-02-01-01.mp4,ravdess/Actor_01/02-01-01-01-02-01-01.mp4,02-01-01-01-02-01-01.mp4,1,Actor_01,test,male,01,neutral,video_only,speech,normal,02,01,4019837
ravdess,github/ravdess/Actor_01/02-01-01-01-02-02-01.mp4,ravdess/Actor_01/02-01-01-01-02-02-01.mp4,02-01-01-01-02-02-01.mp4,1,Actor_01,test,male,01,neutral,video_only,speech,normal,02,02,3795646
ravdess,github/ravdess/Actor_01/02-01-02-01-01-01-01.mp4,ravdess/Actor_01/02-01-02-01-01-01-01.mp4,02-01-02-01-01-01-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,normal,01,01,4302519
ravdess,github/ravdess/Actor_01/02-01-02-01-01-02-01.mp4,ravdess/Actor_01/02-01-02-01-01-02-01.mp4,02-01-02-01-01-02-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,normal,01,02,4162777
ravdess,github/ravdess/Actor_01/02-01-02-01-02-01-01.mp4,ravdess/Actor_01/02-01-02-01-02-01-01.mp4,02-01-02-01-02-01-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,normal,02,01,4438557
ravdess,github/ravdess/Actor_01/02-01-02-01-02-02-01.mp4,ravdess/Actor_01/02-01-02-01-02-02-01.mp4,02-01-02-01-02-02-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,normal,02,02,4405169
ravdess,github/ravdess/Actor_01/02-01-02-02-01-01-01.mp4,ravdess/Actor_01/02-01-02-02-01-01-01.mp4,02-01-02-02-01-01-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,strong,01,01,4256328
ravdess,github/ravdess/Actor_01/02-01-02-02-01-02-01.mp4,ravdess/Actor_01/02-01-02-02-01-02-01.mp4,02-01-02-02-01-02-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,strong,01,02,4863555
ravdess,github/ravdess/Actor_01/02-01-02-02-02-01-01.mp4,ravdess/Actor_01/02-01-02-02-02-01-01.mp4,02-01-02-02-02-01-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,strong,02,01,4962825
ravdess,github/ravdess/Actor_01/02-01-02-02-02-02-01.mp4,ravdess/Actor_01/02-01-02-02-02-02-01.mp4,02-01-02-02-02-02-01.mp4,1,Actor_01,test,male,02,calm,video_only,speech,strong,02,02,4665152
ravdess,github/ravdess/Actor_01/02-01-03-01-01-01-01.mp4,ravdess/Actor_01/02-01-03-01-01-01-01.mp4,02-01-03-01-01-01-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,normal,01,01,4404644
ravdess,github/ravdess/Actor_01/02-01-03-01-01-02-01.mp4,ravdess/Actor_01/02-01-03-01-01-02-01.mp4,02-01-03-01-01-02-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,normal,01,02,4308438
ravdess,github/ravdess/Actor_01/02-01-03-01-02-01-01.mp4,ravdess/Actor_01/02-01-03-01-02-01-01.mp4,02-01-03-01-02-01-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,normal,02,01,4480110
ravdess,github/ravdess/Actor_01/02-01-03-01-02-02-01.mp4,ravdess/Actor_01/02-01-03-01-02-02-01.mp4,02-01-03-01-02-02-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,normal,02,02,4619384
ravdess,github/ravdess/Actor_01/02-01-03-02-01-01-01.mp4,ravdess/Actor_01/02-01-03-02-01-01-01.mp4,02-01-03-02-01-01-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,strong,01,01,4657307
ravdess,github/ravdess/Actor_01/02-01-03-02-01-02-01.mp4,ravdess/Actor_01/02-01-03-02-01-02-01.mp4,02-01-03-02-01-02-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,strong,01,02,4605050
ravdess,github/ravdess/Actor_01/02-01-03-02-02-01-01.mp4,ravdess/Actor_01/02-01-03-02-02-01-01.mp4,02-01-03-02-02-01-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,strong,02,01,5038474
ravdess,github/ravdess/Actor_01/02-01-03-02-02-02-01.mp4,ravdess/Actor_01/02-01-03-02-02-02-01.mp4,02-01-03-02-02-02-01.mp4,1,Actor_01,test,male,03,happy,video_only,speech,strong,02,02,5047365
ravdess,github/ravdess/Actor_01/02-01-04-01-01-01-01.mp4,ravdess/Actor_01/02-01-04-01-01-01-01.mp4,02-01-04-01-01-01-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,normal,01,01,4863111
ravdess,github/ravdess/Actor_01/02-01-04-01-01-02-01.mp4,ravdess/Actor_01/02-01-04-01-01-02-01.mp4,02-01-04-01-01-02-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,normal,01,02,4288729
ravdess,github/ravdess/Actor_01/02-01-04-01-02-01-01.mp4,ravdess/Actor_01/02-01-04-01-02-01-01.mp4,02-01-04-01-02-01-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,normal,02,01,3788525
ravdess,github/ravdess/Actor_01/02-01-04-01-02-02-01.mp4,ravdess/Actor_01/02-01-04-01-02-02-01.mp4,02-01-04-01-02-02-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,normal,02,02,4242738
ravdess,github/ravdess/Actor_01/02-01-04-02-01-01-01.mp4,ravdess/Actor_01/02-01-04-02-01-01-01.mp4,02-01-04-02-01-01-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,strong,01,01,4607081
ravdess,github/ravdess/Actor_01/02-01-04-02-01-02-01.mp4,ravdess/Actor_01/02-01-04-02-01-02-01.mp4,02-01-04-02-01-02-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,strong,01,02,4644388
ravdess,github/ravdess/Actor_01/02-01-04-02-02-01-01.mp4,ravdess/Actor_01/02-01-04-02-02-01-01.mp4,02-01-04-02-02-01-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,strong,02,01,4561178
ravdess,github/ravdess/Actor_01/02-01-04-02-02-02-01.mp4,ravdess/Actor_01/02-01-04-02-02-02-01.mp4,02-01-04-02-02-02-01.mp4,1,Actor_01,test,male,04,sad,video_only,speech,strong,02,02,4634650
ravdess,github/ravdess/Actor_01/02-01-05-01-01-01-01.mp4,ravdess/Actor_01/02-01-05-01-01-01-01.mp4,02-01-05-01-01-01-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,normal,01,01,4911751
ravdess,github/ravdess/Actor_01/02-01-05-01-01-02-01.mp4,ravdess/Actor_01/02-01-05-01-01-02-01.mp4,02-01-05-01-01-02-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,normal,01,02,5050866
ravdess,github/ravdess/Actor_01/02-01-05-01-02-01-01.mp4,ravdess/Actor_01/02-01-05-01-02-01-01.mp4,02-01-05-01-02-01-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,normal,02,01,4357398
ravdess,github/ravdess/Actor_01/02-01-05-01-02-02-01.mp4,ravdess/Actor_01/02-01-05-01-02-02-01.mp4,02-01-05-01-02-02-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,normal,02,02,4737351
ravdess,github/ravdess/Actor_01/02-01-05-02-01-01-01.mp4,ravdess/Actor_01/02-01-05-02-01-01-01.mp4,02-01-05-02-01-01-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,strong,01,01,5211904
ravdess,github/ravdess/Actor_01/02-01-05-02-01-02-01.mp4,ravdess/Actor_01/02-01-05-02-01-02-01.mp4,02-01-05-02-01-02-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,strong,01,02,5549807
ravdess,github/ravdess/Actor_01/02-01-05-02-02-01-01.mp4,ravdess/Actor_01/02-01-05-02-02-01-01.mp4,02-01-05-02-02-01-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,strong,02,01,5258460
ravdess,github/ravdess/Actor_01/02-01-05-02-02-02-01.mp4,ravdess/Actor_01/02-01-05-02-02-02-01.mp4,02-01-05-02-02-02-01.mp4,1,Actor_01,test,male,05,angry,video_only,speech,strong,02,02,5627718
ravdess,github/ravdess/Actor_01/02-01-06-01-01-01-01.mp4,ravdess/Actor_01/02-01-06-01-01-01-01.mp4,02-01-06-01-01-01-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,normal,01,01,4664420
ravdess,github/ravdess/Actor_01/02-01-06-01-01-02-01.mp4,ravdess/Actor_01/02-01-06-01-01-02-01.mp4,02-01-06-01-01-02-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,normal,01,02,4607495
ravdess,github/ravdess/Actor_01/02-01-06-01-02-01-01.mp4,ravdess/Actor_01/02-01-06-01-02-01-01.mp4,02-01-06-01-02-01-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,normal,02,01,4358169
ravdess,github/ravdess/Actor_01/02-01-06-01-02-02-01.mp4,ravdess/Actor_01/02-01-06-01-02-02-01.mp4,02-01-06-01-02-02-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,normal,02,02,4690021
ravdess,github/ravdess/Actor_01/02-01-06-02-01-01-01.mp4,ravdess/Actor_01/02-01-06-02-01-01-01.mp4,02-01-06-02-01-01-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,strong,01,01,6366731
ravdess,github/ravdess/Actor_01/02-01-06-02-01-02-01.mp4,ravdess/Actor_01/02-01-06-02-01-02-01.mp4,02-01-06-02-01-02-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,strong,01,02,5378164
ravdess,github/ravdess/Actor_01/02-01-06-02-02-01-01.mp4,ravdess/Actor_01/02-01-06-02-02-01-01.mp4,02-01-06-02-02-01-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,strong,02,01,5055355
ravdess,github/ravdess/Actor_01/02-01-06-02-02-02-01.mp4,ravdess/Actor_01/02-01-06-02-02-02-01.mp4,02-01-06-02-02-02-01.mp4,1,Actor_01,test,male,06,fearful,video_only,speech,strong,02,02,4993787
ravdess,github/ravdess/Actor_01/02-01-07-01-01-01-01.mp4,ravdess/Actor_01/02-01-07-01-01-01-01.mp4,02-01-07-01-01-01-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,normal,01,01,4914803
ravdess,github/ravdess/Actor_01/02-01-07-01-01-02-01.mp4,ravdess/Actor_01/02-01-07-01-01-02-01.mp4,02-01-07-01-01-02-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,normal,01,02,4991407
ravdess,github/ravdess/Actor_01/02-01-07-01-02-01-01.mp4,ravdess/Actor_01/02-01-07-01-02-01-01.mp4,02-01-07-01-02-01-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,normal,02,01,4994083
ravdess,github/ravdess/Actor_01/02-01-07-01-02-02-01.mp4,ravdess/Actor_01/02-01-07-01-02-02-01.mp4,02-01-07-01-02-02-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,normal,02,02,4509298
ravdess,github/ravdess/Actor_01/02-01-07-02-01-01-01.mp4,ravdess/Actor_01/02-01-07-02-01-01-01.mp4,02-01-07-02-01-01-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,strong,01,01,5457598
ravdess,github/ravdess/Actor_01/02-01-07-02-01-02-01.mp4,ravdess/Actor_01/02-01-07-02-01-02-01.mp4,02-01-07-02-01-02-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,strong,01,02,5224160
ravdess,github/ravdess/Actor_01/02-01-07-02-02-01-01.mp4,ravdess/Actor_01/02-01-07-02-02-01-01.mp4,02-01-07-02-02-01-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,strong,02,01,5147886
ravdess,github/ravdess/Actor_01/02-01-07-02-02-02-01.mp4,ravdess/Actor_01/02-01-07-02-02-02-01.mp4,02-01-07-02-02-02-01.mp4,1,Actor_01,test,male,07,disgust,video_only,speech,strong,02,02,5538569
ravdess,github/ravdess/Actor_01/02-01-08-01-01-01-01.mp4,ravdess/Actor_01/02-01-08-01-01-01-01.mp4,02-01-08-01-01-01-01.mp4,1,Actor_01,test,male,08,surprised,video_only,speech,normal,01,01,4163471
ravdess,github/ravdess/Actor_01/02-01-08-01-01-02-01.mp4,ravdess/Actor_01/02-01-08-01-01-02-01.mp4,02-01-08-01-01-02-01.mp4,1,Actor_01,test,male,08,surprised,video_only,speech,normal,01,02,3928267
ravdess,github/ravdess/Actor_01/02-01-08-01-02-01-01.mp4,ravdess/Actor_01/02-01-08-01-02-01-01.mp4,02-01-08-01-02-01-01.mp4,1,Actor_01,test,male,08,surprised,video_only,speech,normal,02,01,4456367
ravdess,github/ravdess/Actor_01/02-01-08-01-02-02-01.mp4,ravdess/Actor_01/02-01-08-01-02-02-01.mp4,02-01-08-01-02-02-01.mp4,1,Actor_01,test,male,08,surprised,video_only,speech,normal,02,02,3770087
